date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:49	76114/76114	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2015:52:47%20GMT	https://api-report1.aoi-gadget.icu/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/index.html	(from )
00:52:50	120/120	---M-Z	200	added ('OK')	text/plain	date:Mon,%2002%20Dec%202024%2015:52:46%20GMT	https://api-report1.aoi-gadget.icu/robots.txt		(from )
00:52:50	3975/3975	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Dec%202024%2002:13:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/img/texture/white-brushed.png	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/img/texture/white-brushed.png	(from https://api-report1.aoi-gadget.icu/)
00:52:50	287753/287753	---M-Z	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202024%2015:46:49%20GMT	https://api-report1.aoi-gadget.icu/wp-content/litespeed/css/24acaefee02b40491e9e25297da3892b.css?ver=082ca	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/litespeed/css/24acaefee02b40491e9e25297da3892b4dfc.css	(from https://api-report1.aoi-gadget.icu/)
00:52:50	1353/1353	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2002%20Dec%202024%2002:03:43%20GMT	https://api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/assets/js/css_async.min.js	(from https://api-report1.aoi-gadget.icu/)
00:52:50	285/285	---M--	200	added ('OK')	text/css	date:Mon,%2002%20Dec%202024%2002:13:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/themes/swell/build/css/noscript.css	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/themes/swell/build/css/noscript.css	(from https://api-report1.aoi-gadget.icu/)
00:52:51	5733/5733	---M--	200	added ('OK')	application/json	date:Mon,%2002%20Dec%202024%2015:52:48%20GMT	https://api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-json/wp/v2/pages/36.json	(from https://api-report1.aoi-gadget.icu/)
00:52:51	6156/6156	---M--	200	added ('OK')	image/webp	date:Mon,%2002%20Dec%202024%2014:00:46%20GMT	https://api-report1.aoi-gadget.icu/wp-content/uploads/2024/12/d1e632f2-4a96-4f75-acba-36e3b2e0ded4-150x150.webp	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/uploads/2024/12/d1e632f2-4a96-4f75-acba-36e3b2e0ded4-150x150.webp	(from https://api-report1.aoi-gadget.icu/)
00:52:51	1827/1827	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2002%20Dec%202024%2015:51:31%20GMT	https://api-report1.aoi-gadget.icu/feed/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/feed/index.html	(from https://api-report1.aoi-gadget.icu/)
00:52:51	16/16	---M-Z	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2015:52:49%20GMT	https://api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/guest.vary.php	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/plugins/litespeed-cache/guest.vary.html	(from https://api-report1.aoi-gadget.icu/)
00:52:52	8484/8484	---M--	200	added ('OK')	application/x-font-woff2	date:Mon,%2002%20Dec%202024%2002:13:50%20GMT	https://api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/fonts/icomoon.woff2?fq24x	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-content/themes/swell/assets/fonts/icomoonfbd9.woff2	(from https://api-report1.aoi-gadget.icu/wp-content/litespeed/css/24acaefee02b40491e9e25297da3892b.css?ver=082ca)
00:52:52	57497/57497	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Dec%202024%2015:52:50%20GMT	https://api-report1.aoi-gadget.icu/portfolio/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/portfolio/index.html	(from https://api-report1.aoi-gadget.icu/)
00:52:52	371170/371170	---MC-	200	added ('OK')	application/json	date:Mon,%2002%20Dec%202024%2015:52:49%20GMT	https://api-report1.aoi-gadget.icu/wp-json/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/wp-json/index.html	(from https://api-report1.aoi-gadget.icu/)
00:52:52	1903/1903	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2002%20Dec%202024%2015:51:31%20GMT	https://api-report1.aoi-gadget.icu/comments/feed/	C:/My%20Web%20Sites/https___api-report1.aoi-gadget.icu_/api-report1.aoi-gadget.icu/comments/feed/index.html	(from https://api-report1.aoi-gadget.icu/)
